name,method,ingredients,category
Greek milk pie – Galatopita ,"Preheat the oven to 180,ο, C (356,ο, F) set to fan.,In a ,pot,, add the milk, the sugar, and transfer over medium heat until it comes to a boil.,In a bowl, add the semolina, the cornstarch, and mix. Add the eggs, ,vanilla extract,, lemon zest, salt, and mix very well with a hand whisk.,With a ladle, slowly add the hot milk from the pot into the bowl with the eggs, by constantly stirring.,Add the mixture into the pot again, transfer on heat, and stir constantly until the cream thickens.,Remove from the heat, add the butter, and mix until it melts.,Butter a ,27 cm baking dish, and sprinkle with semolina. Pour the whole mixture and spread it well with a ,spatula,.,In a ,bowl,, add the water, egg, sugar, and mix well.,With a ,pastry brush,, spread it over the whole surface of the milk pie and bake for 40-45 minutes.,Remove from the heat and allow at least 4 hours for it to cool well.,Serve with sugar, honey, cinnamon, and mint."," 1.120 g milk , 200 g granulated sugar , 90 g semolina, fine , 30 g corn starch , 3 eggs, medium  , 1 teaspoon(s) ,vanilla extract, , lemon zest, of 1 lemon  , 1 pinch salt , 90 g butter , 2 tablespoon(s) water , 1 egg, medium , 2 tablespoon(s) granulated sugar , 2 tablespoon(s) granulated sugar , 1 tablespoon(s) honey , 1 tablespoon(s) cinnamon , mint leaves ",Pies and Tarts
Tandoori chicken with rice,"Preheat the oven to 180,ο, C (350,ο, ,F) set to fan.,In a bowl add the yogurt, the cumin, the curry, the chili flakes, the garam masala, the lemon zest, the ginger grated, the garlic grated, salt, pepper, the olive oil, and mix. ,With a knife, score the drumsticks on 2-3 spots. Add salt, put them in the marinade, and mix well. ,Transfer to a baking pan with a rack and roast for 30-40 minutes. ,Place a frying pan over high heat and add the butter, the curry, the cumin, the rice, salt, pepper, and mix. ,Serve with mint, coriander, and lemon slices. "," 200 g strained yogurt , 1 teaspoon(s) cumin , 1 tablespoon(s) curry , 1/4 teaspoon(s) chili flakes , 1 tablespoon(s) garam masala , lemon zest, from 1 lemon , 30 g ginger , 2 clove(s) of garlic , salt , pepper , 2 tablespoon(s) olive oil , 1 kilo chicken drumsticks , 50 g butter , 1 teaspoon(s) curry , 1 teaspoon(s) cumin , 300 g basmati rice, boiled , salt , pepper , mint , coriander , 1 lemon, into slices ",Chicken and Turkey
Greek traditional pie with feta cheese,"Preheat the oven to 180,ο, C (356,ο, F) set to fan.,In a ,bowl,, add the flour, yogurt, vegetable oil, olive oil, salt, pepper, sugar, baking powder, vinegar, and oregano.,Mix with a spoon, until the dough starts getting formed. Continue by kneading with your ,hands, until the dough comes together nicely.,In a ,32x25 cm greased baking pan,, spread the mixture and bake for 40-50 minutes.  ,In a bowl, add the cream cheese, the dill finely chopped, pepper, salt, olive oil, and then mix with a spoon.,Spread on the whole surface of the base.,Place the feta cheese in strips, the cherry tomatoes cut in half, the cucumber cut in quarters and the olives, one next to the other.,Serve with oregano, basil, and olive oil."," 850 g all-purpose flour , 350 g strained yogurt , 300 g seed oil , 100 g olive oil , salt , pepper , 1 teaspoon(s) granulated sugar , 1 tablespoon(s) baking powder , 1 tablespoon(s) vinegar, of white wine   , 1 teaspoon(s) oregano, dry  , 400 g cream cheese , 1 tablespoon(s) dill , salt , pepper , 2 tablespoon(s) olive oil , 500 g feta cheese , 300 g cherry tomatoes , 1/2 cucumber , 100 g olives , oregano , basil , 1-2 tablespoon(s) olive oil ",Savory pies and Tarts
Spicy baked chicken,"Preheat the oven to 160,ο, C (320,ο, F) set to fan.,In a bowl add the sugar, the paprika, the chili, the garlic, the cumin, the nutmeg, the salt, and mix. ,Cut, the chicken into six portions, add it to the bowl with the marinade, and toss to coat.,Transfer to a ,baking pan, with a rack and cover with aluminum foil. Bake for 1 hour. Then uncover, increase the oven’s temperature to 200,ο, C (390,ο, F), and bake for 5-10 more minutes until golden brown.,Alternatively, you can bake it without the aluminum foil at 180,ο, C (350,ο, F) set to fan for 30-40 minutes.,In a bowl add the lentils, the quinoa, the beet greens, the lemon juice, the olive oil, salt, and mix. ,Remove the chicken from the oven and serve it with the salad."," 3 tablespoon(s) brown sugar , 2 tablespoon(s) paprika, smoked , 1 tablespoon(s) chili powder , 1 teaspoon(s) garlic , 1 teaspoon(s) cumin , 1/2 teaspoon(s) nutmeg , 1 tablespoon(s) salt , 1200 g chicken , 250 g lentils, boiled , 250 g quinoa, boiled , 100 g beet greens , lemon juice, of 1 lemon , 2 tablespoon(s) olive oil , salt ",Chicken and Turkey
Gluten-free cheese pie,"Preheat the oven to 180,ο,C (350,ο, F) set to fan.,In a ,bowl,, mix the flour and the baking powder with a spoon. ,Add the yogurt, the 200 g olive oil, the egg, the chili flakes, the 200 g water, and keep mixing. ,Slowly add the remaining water into the mixture until there is a thick batter. ,Add the feta cheese, the gruyere, pepper, add salt depending on how salty your cheeses are, and mix. ,Finely chop the thyme, the mint, add them to the mixture, and mix.,Lightly grease a 25x35 cm ,baking pan, with the 25 g olive oil and pour the batter in, making sure that it evenly covers the whole surface of the pan. ,With a pastry brush, drizzle the surface of the pie with the remaining 15 g olive oil and sprinkle it with the sesame seeds. ,Transfer the baking pan to the oven and bake for 1 hour, until the cheese pie is golden.,Remove the baking pan from the oven, let the cheese pie cool a little, and serve by sprinkling with a few chili flakes, if you want."," 400 g gluten-free flour , 1 tablespoon(s) baking powder, gluten-free , 100 g strained yogurt , 240 g olive oil , 1 egg, medium , 1 pinch chili flakes , 400 g water , 250 g feta cheese , 150 g gruyere cheese, grated , pepper , salt , 2 tablespoon(s) thyme leaves , 2 tablespoon(s) mint leaves , 1 tablespoon(s) sesame seeds , chili flakes, optionally ",Savory pies and Tarts
Whole-wheat spinach pie,"With your hands, coarsely chop the spinach and add it to a ,bowl,.,Finely chop the dill, the spring onions, the chervil, and add them to the bowl. ,Add 1 tablespoon salt and mix with your hands, while squeezing the water out of the spinach. Drain and set aside.,Preheat the oven to 180,ο,C (350,ο, F) set to fan.,In a second bowl, use a fork to whisk the eggs along with the 250 g olive oil and the milk. ,In another bowl, use a spoon to mix the flour with the baking powder. ,Add the flour, in batches, into the bowl with the eggs and whisk until there is a thick batter. ,Add the spinach with the herbs, crumble the anthotyro or the feta cheese with your hands and add it into the bowl, add a little salt, pepper, and mix with a spoon until there is a uniform mixture.,Lightly grease, with the 10 g olive oil, a 30 cm round ,baking pan,, pour the mixture into the pan, and sprinkle with the sesame seeds. ,Bake in the oven for about 45-50 minutes, until the batter is thick and the pie golden.,Remove the baking pan from the oven, allow 20 minutes for the pie to slightly cool, cut it into pieces, and serve. "," 500 g spinach, fresh, cleaned , 1 bunch dill , 3 spring onions , 1 bunch chervil , 1 tablespoon(s) salt , 4 eggs, medium , 260 g olive oil , 450 g milk, 3,5% fat , 380 g whole-wheat flour , 1 tablespoon(s) baking powder , 400 g anthotyro cheese, or feta cheese , pepper , 1 teaspoon(s) sesame seeds ",Savory pies and Tarts
Quick chicken Tikka Masala,"Cut the onion into slices and the cooked chicken into 2 cm cubes. Finely chop the parsley and set it aside until needed. ,Heat the olive oil in a ,frying pan, ,over medium heat.,Sauté the chopped onion for 2 minutes, until it softens a little. Add the chicken and mix with a serving spoon. ,Add the canned tomatoes, the turmeric, the curry, salt, and pepper. ,Stir with the serving spoon and let it come to a boil. ,Remove the pan from the heat, add the yogurt, the parsley, and mix with the serving spoon. ,Check the seasoning.,Serve with warm ,basmati, rice, yogurt, and extra finely chopped parsley. "," 1 onion , 200 g chicken, cooked, leftover , 1/4 bunch parsley , 1 tablespoon(s) olive oil , 400 g canned tomatoes , 1/4 teaspoon(s) turmeric , 1/2 teaspoon(s) curry , salt , pepper , 2 tablespoon(s) strained yogurt , 200 g basmati rice, boiled , 100 g strained yogurt , 2 tablespoon(s) parsley, finely chopped ",Chicken and Turkey
Greek open-faced spinach pie ,"Preheat oven to 190* C (374* F) Fan.,Place a ,pan, over high heat and add 2-3 tablespoons of olive oil.,Tear the spinach up with your hands and add it to the pan in batches.,Cook for 5-7 minutes, until all of the liquid has evaporated. You don’t want any moisture in the pie.,When all of the spinach is ready, add the heavy cream. Stir until the volume of the spinach goes down and the heavy cream thickens.,Remove from heat and add the dill, mint and spring onions., Add half of the crumbled feta cheese, lemon zest, eggs, salt and pepper.,Stir and your filling is ready.,Line a ,baking pan, with parchment paper.,Spread the shortcrust pastry in the pan and spread the filling over it.,Roll the edge inward creating a small “envelope” all around the border.,Add the cream cheese in small pieces all over the filling.,Add the remaining crumbled feta.,Season with salt and pepper and drizzle with 1-2 tablespoons of olive oil.,Bake for 25-30 minutes, on the highest rack in the oven.,When ready, remove from oven and let it cool for 10 minutes.,Cut in to pieces. Drizzle with some olive oil, freshly ground pepper, herbs and serve."," 5 tablespoon(s) olive oil, + extra o serve , 800 g spinach, fresh  , 150 g heavy cream 35% , 1/3 bunch dill , 1-2 bunches mint , 2 spring onions, finely chopped   , 250 g feta cheese , lemon zest, of 1 lemon   , 2 eggs , salt , pepper , 320 g kourou dough sheet , 200 g cream cheese ",Savory pies and Tarts
Roasted vegetable tart,"Preheat the oven to 180,o,C (350,o, F) set to fan.,Brush a 28 cm ,tart pan, with the butter, flour it, and set it aside until needed. ,Dust your working surface with a little flour and use a rolling pin to roll out the ready-made shortcrust pastry into a 30 cm round sheet.,Carefully transfer the dough to the tart pan, covering its bottom and sides.,Cover the bottom with parchment paper and fill it with raw legumes or pie weights, so that the crust will not rise while baking.,Bake in the oven for 20 minutes.,Remove the pie weights along with the parchment paper and bake for 10 more minutes.,Remove the tart pan from the oven and let it cool. ,Place a ,frying pan, over medium heat and add 2 tablespoons olive oil.,Cut the onions into slices, finely chop the garlic, and sauté them for 2-3 minutes until they are slightly tender.,Finely chop the thyme, the rosemary, and add them to the pan. Add salt, pepper, and mix with a serving spoon. ,Remove the pan from the heat and transfer the mixture into a ,bowl,, where you let it cool for 20 minutes. ,Add the pesto sauce and mix with a spoon. Set the bowl aside until needed. ,Use a mandoline slicer to cut the eggplants, the carrots into 5 mm thick slices, and the zucchini into 0,5 cm thick slices.,Transfer the vegetables to a bowl and drizzle them with the rest of the olive oil, salt, and pepper. Mix with a spoon.,Spread the onion mixture over the tart crust, making sure that it covers the whole surface.,Place the eggplant slices around the tart crust, starting from the edges to the center.,Place the zucchini slices and then, the carrot slices. ,Follow the same process until you reach the center, placing the vegetable slices alternately.,Cover the tart pan with aluminum foil, transfer it to the oven, and bake for 20 minutes. ,Remove the aluminum foil and bake for 10-15 more minutes.,Remove the tart pan from the oven and let it cool for 30 minutes. ,Cut the tart into pieces and serve. "," 1 tablespoon(s) butter , 1 tablespoon(s) all-purpose flour, + extra to roll out the dough , 400 g ready-made shortcrust pastry , 50 g olive oil , 2 onions , 2 clove(s) of garlic , 2 tablespoon(s) thyme leaves , 1 tablespoon(s) rosemary , salt , pepper , 100 g pesto alla Genovese , 2 eggplants, small , 3 carrots , 3 zucchinis, large ",Savory pies and Tarts
Cheeseburger pie,"Preheat the oven to 180,ο,C (350,ο, F) set to fan.,Grease a 28 cm round ,cake pan, with the butter, dust with the flour, and set it aside until needed. ,Dust your working surface with a little flour and use a rolling pin to roll out the kourou dough sheet into a 30 cm circle.,Carefully transfer the sheet to the cake pan, covering its bottom and sides.,Spread a piece of parchment paper on the bottom and fill it with legumes as pie weights, so that the crust does not rise while baking.,Bake in the oven for 20 minutes.,Remove the pie weights along with the parchment paper and bake for 10 more minutes.,Take the cake pan out of the oven and let it cool. ,Place a ,pot, over medium heat and add the olive oil. ,Sauté the ground beef for 4-5 minutes, until golden brown, by stirring with a serving spoon.,Finely chop the onion, the pepper, the garlic, and sauté them for about 3-4 minutes.,Add the tomato paste and sauté for 1 more minute.,Deglaze the pot with the red wine, add the canned tomatoes, the oregano, the parsley, salt, pepper, and mix. ,Cook for 4-5 minutes until the juices of the tomato reduce and then remove the pot from the heat. ,Transfer the filling into a ,bowl, and let it cool.,Add the dry breadcrumbs and mix with the serving spoon.,Place a saucepan over medium heat and melt the butter.,As soon as the butter melts, add the flour and whisk well until there is a uniform paste. ,Cook for 1 minute and add the milk in 3 batches by whisking constantly.,Let the milk come to a boil and remove the pot from the heat. ,Add the mustard, salt, pepper, the 150 g cheddar, and whisk until the cheese melts.,Set the saucepan aside until the bechamel sauce is needed.,Preheat the oven to 200,ο,C (390,ο, F) set to fan.,Spread the ground beef mixture on top of the crust and make sure that it covers the whole surface.,Pour the bechamel sauce over the ground beef.,Sprinkle with the 50 g cheddar and bake in the oven for 8-10 minutes, until the bechamel sauce is golden.,Remove the pie from the oven and let it slightly cool. ,Cut into pieces, sprinkle with thyme, and serve -optionally- with BBQ sauce. "," 1 tablespoon(s) butter , 1 tablespoon(s) all-purpose flour , 1 kourou dough sheet , 3 tablespoon(s) olive oil , 500 g ground beef , 1 onion , 1 red bell pepper , 2 clove(s) of garlic , 1 tablespoon(s) tomato paste , 50 g red wine , 400 g canned tomatoes , 1 teaspoon(s) oregano , 1 bunch parsley, finely chopped , salt , pepper , 100 g dry breadcrumbs , 40 g butter , 40 g all-purpose flour , 400 g milk, 3,5% fat, lukewarm , 1 tablespoon(s) mustard, Dijon , salt , pepper , 200 g cheddar, grated , thyme ,   ,BBQ sauce, ",Savory pies and Tarts
4-Ingredient chicken à la crème,"In a ,bowl, mix the salt, the pepper, and the garlic powder with a spoon.,Cut the chicken breasts in to 2 cm slices. Add them into the bowl and mix well. ,Heat a ,frying pan, over medium heat. ,Add the butter to the pan and let it melt.,Sauté the fillets for 3-4 minutes on each side.,Remove the fillets from the pan and add the heavy cream. ,With a spatula, lightly scrape the bottom of the pan and let the cream come to a boil.,Add the fillets and let them boil for 5-6 minutes into the cream.,Check the seasoning.,Serve -optionally- with finely chopped chili pepper and sprinkle with finely chopped parsley."," 1 teaspoon(s) salt , 1 teaspoon(s) pepper, or cayenne pepper , 1 tablespoon(s) garlic , 600 g chicken breast fillet , 50 g butter , 350 g heavy cream 35% , 1 chili pepper, finely chopped , 1 tablespoon(s) parsley, finely chopped ",Chicken and Turkey
Greek no-phyllo leek pie,"Preheat the oven to 180,ο,C (350,ο, F) set to fan.,Cut the leeks in half and then into thin slices. ,In a large ,frying pan, over medium heat, add 4 tablespoons olive oil and sauté the leeks for 4-5 minutes, until they are slightly tender but not browned. ,Finely chop the garlic and sauté it along with the leeks for 1 minute. ,Remove the pan from the heat and transfer the leeks with the garlic into a ,bowl,. ,Crumble the feta cheese with your hands and add it to the bowl.,Finely chop the herbs, the dill, and add them to the bowl.,In another bowl beat the eggs with a fork along with the milk, salt, pepper, and 1 tablespoon olive oil.,Add the flour and whisk. ,Add the leek mixture into the bowl with the rest of the ingredients and mix with a serving spoon, until there is a uniform mixture.,Lightly grease a round 24 cm ,baking pan, with 1 tablespoon olive oil and pour the mixture in. ,Bake in the oven for 30 minutes, until the pie is firm and golden.,Remove the baking pan from the oven and let the pie cool a little, for about 20 minutes.,Cut into pieces and serve."," 3 leeks, only the white part , 6 tablespoon(s) olive oil , 2 clove(s) of garlic , 200 g feta cheese , 1 tablespoon(s) thyme leaves , 2 tablespoon(s) mint leaves , 1/4 bunch dill , 2 eggs, medium , 150 g milk, 3,5% fat , salt , pepper , 70 g spelt flour ",Savory pies and Tarts
Chicken stew with olives," Place a ,pot, over high heat and add 2 tablespoons olive oil., ,Cut, the garlic into thin slices and add them into a bowl.,Add the ginger grated, the cumin, salt, pepper, the paprika, and mix.,Cut the chicken fillets in half, add them into the marinade, and mix well.  ,Dust with the flour in order to coat them completely and add them to the pot. Sauté for 3-4 minutes until golden on all sides. Remove and set aside.,Place the pot back on heat and add 2 tablespoons olive oil.,Cut the onion into thin slices and add them to the pot.,Add the olives, the cinnamon sticks, the chicken bouillon cube, the chicken, and deglaze with the lemon juice.,Add the water, salt, pepper, and cover the pot with the lid. Simmer over medium heat for 40 minutes.,Place a ,frying pan, over high heat and add the butter. Let it melt and turn slightly brown.,Add the couscous, the spring onion finely chopped, the cumin, salt, pepper, and mix.,Serve the chicken with the couscous and parsley."," 2 clove(s) of garlic , 10 g ginger , 1 teaspoon(s) cumin , salt , pepper , 1 tablespoon(s) paprika , 800 g chicken thigh fillet , 40 g all-purpose flour , 4 tablespoon(s) olive oil , 2 onions , 150 g olives, rounds , 2 stick(s) cinnamon , 1 chicken bouillon cube , lemon juice, of 1 lemon , 300 g water , salt , pepper , 80 g butter , 300 g couscous, boiled , 1 spring onion , 1/2 teaspoon(s) cumin , salt , pepper , parsley ",Chicken and Turkey
Smoked steak with hollandaise sauce ,"In a ,pot, with boiling water over medium heat, place a metal or glass bowl to create a bain-marie. ,In the bowl add the yolks, the vinegar, the water, and whisk well.,Add the mustard and whisk constantly until the mixture thickens and turns fluffy. ,When your mixture starts getting hot, remove it from the heat, and add the butter very slowly by constantly whisking.,Add salt, pepper, and mix. Cover with plastic wrap and set aside. The moment you want to use it, whisk it well. If your sauce is too thick, thin it with a little water.,Place a ,frying pan, over high heat.,Add olive oil, salt and pepper to your steaks, and transfer them to the hot pan. Sauté for 1 minute on each side until golden brown. Remove and set aside.,Line a pot with aluminum foil and make sure there are no gaps.,In the pot add the sugar, the cloves, the cinnamon, the pepper, the rosemary, and the oregano. Cover the ingredients with aluminum foil and prick its surface to allow the steam to escape.,Place a steaming basket into the pot and add the steaks. ,Cover the lid with aluminum foil and seal the pot well. Transfer over high heat. As soon as steam starts coming out of the pot, simmer at low heat for 8-10 minutes.,Place a frying pan over high heat and add the green beans.  Sauté for 1-2 minutes until they are golden.,Serve the steaks with the sauce, the green beans, mashed potatoes, pepper, and thyme."," 2 egg yolks, from medium eggs , 1 tablespoon(s) vinegar, white wine , 1 tablespoon(s) water , 1 teaspoon(s) mustard , 100 g butter, melted , salt , pepper , 600 g beef steaks, ribeye , 2 tablespoon(s) olive oil , salt , pepper , 300 g brown sugar , 4-5 cloves , 2 stick(s) cinnamon , 1 tablespoon(s) pepper , 4-5 sprig(s) rosemary , 4-5 sprig(s) oregano , 400 g green beans, boiled , 500 g ,mashed potatoes, , pepper , thyme ",Meats
Easy cheese bougatsa with phyllo,"Preheat the oven 180,ο, C (350,ο, F) set to fan.,Place a ,pot, over medium heat and add the butter. As soon as it melts, add the flour and whisk until the whole flour is absorbed.,Add the milk in batches by whisking constantly until the mixture thickens and starts boiling.,Remove from the heat and add the nutmeg, salt, pepper, and mix.,Add the feta cheese crumbled, the gruyere, the egg yolks, and mix.,Grease a ,baking pan, and spread 2 phyllo sheets, making sure to cover the whole surface of the pan and to leave an overhang.,Add one more phyllo sheet and drizzle with olive oil. Follow the same process for two more phyllo sheets, so that -in total- you have 5 sheets at the bottom.,Spread the filling and cover with the remaining phyllo, drizzling with olive oil in between.,Fold the overhanging phyllo inwards to crimp the bougatsa and score into 12 pieces. ,Sprinkle with the sesame seeds and bake for 40-50 minutes.,Let it cool and serve."," 100 g butter , 100 g all-purpose flour , 1 liter milk , 1 pinch nutmeg , salt , pepper , 500 g feta cheese , 200 g gruyere cheese, grated , 2 egg yolks, from medium eggs , 450 g phyllo dough sheets , 100 g olive oil , 10 g sesame seeds ",Savory pies and Tarts
Frybread with feta cheese,"In a mixer’s bowl add the water, the yeast, and whisk well. Ideally, you should allow 10-15 minutes for the yeast to be activated.,Add the flour, the vinegar, the olive oil, salt, and beat with the hook attachment at high speed, for 5-7 minutes, until there is an elastic dough.,Transfer to a greased bowl, cover with plastic wrap and set it aside until it doubles in volume.,Place a ,frying pan, over medium heat and add 1 tablespoon olive oil.,Cut, the dough into 10 pieces. Roll out the dough pieces with a rolling pin, until they are 15 cm in diameter, and scatter the feta cheese crumbled with your hands, the oregano, and fold the dough like a parcel or in any shape you like. Use the rolling pin to roll them out again.,Fry in batches, for 2-3 minutes on each side, until the dough is golden and cooked through.,Follow the same process for all the frybread, adding 1 tablespoon olive oil.,Serve with honey and sesame seeds."," 300 g water, lukewarm     , 8 g yeast , 500 g all-purpose flour , 1 tablespoon(s) vinegar , 2 tablespoon(s) olive oil , 1 teaspoon(s) salt , pepper , 500 g feta cheese , 2 tablespoon(s) oregano, dry , 4-5 tablespoon(s) olive oil , honey , sesame seeds ",Savory pies and Tarts
Korean-style pork shoulder,"Preheat the oven to 160,ο, C (320,ο, F) set to fan.,Put the pork into a baking pan, add the sugar, the salt, and spread them over its whole surface. Cover with plastic wrap and refrigerate it for 8-12 hours. Do not leave it for longer, as it will become salty. ,Rinse the meat very well and transfer it to a baking pan with a rack. Then, using a knife, prick holes in 10 to 15 spots. ,Cut the garlic and the ginger into slices, and divide them among the holes. ,Spread the olive oil, the rosemary, and wrap well with aluminum foil. ,Bake for 4 hours. ,Increase the oven’s temperature to 200,ο, C (390,ο, F).,In a frying pan over high heat add the sweet chili sauce, the balsamic vinegar, and simmer for 2-3 minutes until the glaze sets and thickens. ,Remove the pork and pour the glaze over it. Bake for 30-50 minutes until it is caramelized.,Add the noodles into a bowl along with the peas, the leek cut into thin strips, the green part of the spring onions into small pieces, add some boiling water, and cover with plastic wrap. Leave the noodles according to the packet’s instructions. ,Drain, add the soy sauce, mix, and serve. "," 3 kilos pork shoulder , 4 tablespoon(s) brown sugar , 4 tablespoon(s) salt, coarse , 4 clove(s) of garlic , 20 g ginger , 2 tablespoon(s) olive oil , 3-4 sprig(s) rosemary , 70 g ,sweet chili sauce, , 70 g balsamic vinegar, with honey , 300 g noodles , 50 g peas, frozen  , 50 g leek , 3 spring onions , 2 tablespoon(s) soy sauce ",Meats
Greek Souvlaki Kebabs,"In a container add 5 tablespoons of white wine vinegar, 2 sprigs of rosemary and some sprigs of thyme. Soak the wooden skewers in this marinade for 1-2 hours so they won’t burn while the meat is cooking. They will also release a nice aroma while cooking (you can also use ,stainless steel skewers,).,Use a ,sharp knife, to help you remove the white membrane covering the top part of the pork loin. It is very important to remove this because it will remain tough no matter how long we cook it.,Cut the meat into equal sized pieces (2-3 cm thick). Cutting the meat in this ways helps the meat cook evenly.,Transfer to a deep ,baking pan, and set them aside.,Chop the onion into 4 pieces. Separate the onion layers and add them to the pan.,Finely chop the herbs (aromatics) and discard the stems. Add them to the pan.,Add 5 tablespoons of olive oil, 5 tablespoons of white wine vinegar, 2 cloves garlic, salt and pepper. Mix with a wooden spoon. You will notice that the color of the meat will turn white because of the vinegar. Set aside for at least 20 minutes. ,Then, thread the pieces of meat alternating with pieces of onion, onto the wooden skewers or the ,stainless steel skewers,.,Cook over a grill until they cook through and brown nicely and the onions are juicy and caramelized.,Serve with toasted ,pita bread,, tomatoes and ,tzatziki, sauce."," 800 g tenderloin , 1 onion, medium  , 4 sprig(s) rosemary , 3 sprig(s) thyme , 2 clove(s) of garlic, whole or crushed  , 5 tablespoon(s) olive oil , 5 tablespoon(s) vinegar, of white wine  , salt , pepper ,   ,souvlaki pita breads, ",Meats
Roast chicken with dark beer,"Place a ,pan, over medium-high heat and let it get very hot.,Add 1 tablespoon of olive oil.,Coarsely chop the onions, finely chop the garlic and add them to the pan along with some thyme.,Sauté until nicely caramelized.,Preheat the oven to 180* C (350* F) set to fan.,Wash the baby potatoes, cut them in half leaving the peel on, and transfer to a ,baking pan,.,To the pan with the onions and garlic, add 500 g of dark beer, balsamic vinegar, honey, and vegetable bouillon powder. Set the rest of the beer in the can aside.,Remove from heat, add to the baking pan with the potatoes and mix thoroughly.,Make a space in the middle of the baking pan and place the can with the rest of the beer in it.,Stuff the rosemary and thyme sprigs in the can.,To the chicken, add 2 tablespoons of olive oil and 1 tablespoon of vegetable bouillon powder. Spread over the surface of the chicken to coat.,Place the chicken standing straight up over the beer can (to help keep it up) so that it roasts evenly.,Roast for 1 ½ hour.,When ready, remove from oven, remove the beer can, and cut the chicken into portions.,Remove the baby potatoes from the pan and set aside.,Place a pan over heat and add the sauce from the pan.,In a small bowl, combine the corn starch with some cold water.,Add to the pan and simmer until the sauce thickens.,When ready, transfer sauce to a clean bowl.,Serve the chicken with the potatoes and sauce. Sprinkle with fresh oregano and rosemary."," 3 onions , 2 tablespoon(s) olive oil , 2 clove(s) of garlic , 3-4 sprig(s) thyme , 1 1/2 kilo baby potatoes , 660 g beer, dark  , 50 g balsamic vinegar , 2 tablespoon(s) honey , 2 level tablespoon(s) vegetable bouillon powder , 3-4 sprig(s) rosemary , 1.200 g chicken , 2 tablespoon(s) olive oil , 1 tablespoon(s) corn starch , 2 tablespoon(s) water , oregano , rosemary ",Chicken and Turkey
Greek rustic chicken pie ,"Place a ,pan, over high heat.,Thinly slice, the onion and bell peppers and mince the garlic.,Add 2-3 tablespoons of olive oil, the coriander and chili flakes in the pan to infuse the oil.,Add the vegetables and sugar. Sauté for 3-4 minutes until they caramelize.,Place another pan over high heat and add 1-2 tablespoon olive oil.,Cut the chicken into small pieces and add it to the pan. Sauté for 5-10 minutes until golden.,To both pans, add 1 teaspoon of dry oregano, salt and pepper. Mix.,As soon as the chicken becomes golden, transfer it to the pan with the bell peppers.,Add the tomato paste, mix and sauté.,Add the wine and allow it to evaporate. Remove pan from heat and transfer filling to a bowl.,Crumble the feta with your ,hands, and add it to the pan along with the grated gruyere, oregano and thyme.,Mix and set aside until needed.,Preheat oven to 170* C (338* F) Fan.,Brush a ,28x36 cm baking pan, with olive oil and spread the first sheet of phyllo dough in it. ,Drizzle with olive oil,.,Add another 2 sheets of phyllo dough, vertically to the first sheet and drizzle with olive oil.,Add 1 more sheet of phyllo dough, vertically to the first sheet and add all of the filling over it.,Cover with the remaining sheets of phyllo dough, following the same process as above.,Drizzle the surface with the remaining olive oil and turn the edges inward to create a thick crust.,Score the pie into 12 pieces and bake for 1 hour on a high rack in the oven.,When ready, remove from oven and allow to cool before serving."," 1 onion , 1 clove(s) of garlic , 1 red bell pepper , 1 yellow bell pepper , 1 green bell pepper , 4-5 tablespoon(s) olive oil , 1 tablespoon(s) coriander, seeds  , 1 teaspoon(s) chili flakes , 1 tablespoon(s) granulated sugar , 900 g chicken, boiled  , 1 tablespoon(s) oregano, dry  , salt , pepper , 1 tablespoon(s) tomato paste , 50 g white wine , thyme , 150 g feta cheese , 150 g gruyere cheese, grated   , 700 g phyllo dough sheets , 100 g olive oil ",Savory pies and Tarts
Pork meatballs and green beans,"Place a ,frying pan, over high heat and add the seed oil. ,In a bowl add the ground pork, the cumin, the paprika, the dried breadcrumbs, the olive oil, salt, pepper, the egg, the oregano, and mix well. ,Shape about 25 meatballs and put them into a ,baking pan,. Add the flour, salt, and toss to coat. ,Add the meatballs to the pan in two batches and fry them for about 2-3 minutes, until they are golden brown. Remove and transfer to paper towels. ,Place a ,pot, over high heat and add the olive oil. ,Coarsely chop the onion, cut the garlic into slices, and add them to the pot. Add the thyme, salt, pepper, and sauté. ,Cut, the peppers into thin strips and add them to the pot. Add paprika, the tomato paste, and sauté. ,Add the green beans, deglaze the pot with the wine, add the canned tomatoes, the water, the sugar, the meatballs, and cover with the lid. Simmer over medium heat for 20-25 minutes. ,Serve with mint, olive oil, pepper, and feta cheese. "," 500 g ground pork , 1 teaspoon(s) cumin , 1 tablespoon(s) paprika , 1 clove(s) of garlic , 50 g dry breadcrumbs , 1-2 tablespoon(s) olive oil , salt , pepper , 1 egg, medium , 1 teaspoon(s) oregano , 50 g all-purpose flour , 400 ml seed oil , 2 tablespoon(s) olive oil , 1 onion , 1 clove(s) of garlic , 1 tablespoon(s) thyme , salt , pepper , 1 red bell pepper , 1 yellow bell pepper , 1 tablespoon(s) paprika , 1 tablespoon(s) tomato paste , 500 g green beans , 50 g red wine , 400 g canned tomatoes , 400 g water , 1 pinch granulated sugar , mint , olive oil , pepper , feta cheese ",Meats
